query_id,doc_id,rank,score,bm25_rank,dense_rank,product_title,review_headline,star_rating
q01,RW4ZPJZWV7FBA,1,0.033333,1,1,Pamela's Products Artisan Flour Blend,I've tried many gluten-free baking products and flour blends over ...,5
q01,R382BWXVKVF6B7,2,0.032522,3,2,Tropical Fields Crispy Coconut Rolls with Sesame Seeds 9.3 oz,Gluten free?,1
q01,R17CJRSERY104O,3,0.031545,2,7,Namaste Foods Gluten Free Organic Perfect Flour Blend,Five Stars,5
q01,R3CRCJLQ36BB9D,4,0.027826,10,16,Pamela's Products Amazing Wheat Free & Gluten-free Bread Mix,Gluten Free bread can satisfy the bread lover.,5
q01,R3AZHD6Z774EPQ,5,0.026993,21,10,Pillsbury Funfetti Gluten Free Premium Cake & Cupcake Mix with Candy Bits,Best gluten free cake mix cake I've had,5
q01,R1MCNQ4N4OB7LE,6,0.026984,4,31,"Glutino Gluten Free Toaster Pastry, 5 Count",gluten free & flavor free....,2
q01,R9XYH8M4VKW06,7,0.026905,19,12,"Homefree Treats You Can Trust Gluten Free Mini Vanilla Cookie Box, 70% Organic, Single Serve, 1.1 Ounce (Pack of 30)",Also EGG and PEA free!!!,5
q01,RNRAJVB2T81JI,8,0.026876,13,18,Pamelas Whenever Oat Bars - 4 variety pack,Being Gluten free is a lot easier with these wonderful snack bars,5
q01,R35NAJLZH5TSD1,9,0.025978,17,19,Pamela's Ultimate Baking and Pancake Mix,Makes great-tasting gluten-free pancakes,5
q01,RMEKM1RPRC1EE,10,0.025894,14,23,"Orgain Plant-Based Organic Nutrition Shake, 2 Flavors, 11 Ounce, 12 Count",gluten and soy free loved these. Great for a fast,5
q02,R6MZR6HAYAI0I,1,0.031281,7,3,Spike Seasoning - Salt Free and Gluten Free - 1.9 oz,Yummy and healthy,5
q02,R3R2R15K6WSZBI,2,0.028177,3,24,"Orchard Bars Strwberry, Raspberry & Walnut Bars, 1.4-Ounce Bar, 12-Count",Tasty and Healthy,5
q02,R37HCFSER6CCBG,3,0.028021,27,2,"Enlightened Crisp The Good for You Crisp Roasted Broad Beans, 3.5 Ounce (Pack of 6)",I love salty snacks and we all know that chips and ...,5
q02,R1OW95W101N2K0,4,0.026993,10,21,"Non-GMO and Natural Healthy Snacks Care Package - College, Military, Get Well, Thank You Gift, School Lunch, Office Variety Pack",Amazing healthy great tasting snacks,5
q02,R3G9VAI3LUJ5QT,5,0.026021,33,7,"Kraft Free Dressing, 16-Ounce Plastic Bottles (Pack of 6)",I love this dressing (but keep an eye on the sodium intake).,4
q02,R2IHRHCKP2GF9H,6,0.024645,4,55,Sahale Snacks,amazing grab and go snacks.,5
q02,R3PE2WGQW3TEGS,7,0.022873,14,50,"Spike Gourmet Natural Seasoning, Vegit, 2 Ounce (Pack of 6)",Vegit Magic!,5
q02,R2BZWTKSS6OBWI,8,0.022809,21,38,Nick's Sticks 100% Grass-Fed Beef Snack Sticks - Gluten Free - No Antibiotics or Hormones (25 packages of 2 sticks),"Great ""on the go"" snack or meal replacement",5
q02,R3E294QXDASN51,9,0.02278,56,12,"Osem Bamba Snack, Peanut, 1 Ounce (Pack of 24)",Great Snack,5
q02,R1UBJ8SS1WANZT,10,0.021251,48,25,"Taco Bell 12 Crunchy Taco Shells, 4.5 Ounce (Pack of 12)",The Best!,5
q03,R30L1WNMK87Z3P,1,0.03254,4,1,"V8 V-Fusion +Energy Drinks, 8 Fl Oz",Love the taste but no energy felt,3
q03,R1AX3L8E7UMCVG,2,0.030777,7,5,Dandelion Root Tea - Raw Organic Vitamin Rich Digestive,green tea instead,2
q03,R1H63WKSDV380O,3,0.029907,2,15,LeCharm Ready Brew Fruit & Flowering Tea Extract Crystals Sachets - Fine Tea in 3 Seconds,Not the best taste. Buy crystal light green tea instead,1
q03,R3N18HEVEY6NBC,4,0.027757,29,2,"Japan Ceremonial 100% Wholesome Organic Matcha Green Tea Powder, Diet Drink, Detox, Energy Booster",Matcha Green Tea Powder by Jun Nippon Matcha,5
q03,R10D7HDIQE1WNQ,5,0.027619,11,16,"Argo Tea Unsweetened Green Tea Strawberry Tea, 13.5 Fluid Ounce -- 12 per case.",Yum! Green tea with a hint of strawberry,5
q03,R1R24VUR2KCSEL,6,0.027588,13,14,Teas' Tea,Recommended if you like unsweetened green tea,5
q03,R1QYH4QCJUTC7S,7,0.027433,6,24,"Japanese Kit Kat Matcha Green Tea Flavor | Sweetness for Adults, mini 12 pcs (Japan Import)",Yum for green tea lovers,5
q03,R61VL1WQT8UTV,8,0.026882,3,34,"Celestial Seasonings Rooibos Tea, 20 Count (Pack of 6)",Try this tea!,5
q03,R239AV6JATSS46,9,0.026857,14,17,Tiesta Tea Caffeine Free,This is my favorite green tea.,5
q03,R1Y6K50SH83BHQ,10,0.026501,15,18,"Bigelow Green Tea, 40-Count Boxes (Pack of 6)",Go Green (Tea that is),5
q04,R158INSK6348X7,1,0.03306,1,2,"Nutiva Organic Virgin Coconut Oil, 15 Ounce",Awesome Organic Coconut Oil,5
q04,R3F7NQ92WYOX9K,2,0.032051,6,1,"Viva Naturals Organic Extra Virgin Coconut Oil, 16 Ounce",Truly a multi purpose oil!,5
q04,R2TKYWDIZ7R8LH,3,0.03125,5,5,"Viva Naturals Organic Extra Virgin Coconut Oil, 16 Ounce",Love it! Love it! Love it!,5
q04,RYIVKAOCGMCHL,4,0.030835,3,9,"Viva Naturals Organic Extra Virgin Coconut Oil, 16 Ounce",Quality Coconut Oil,5
q04,R1HW0W7V1S089U,5,0.029958,4,12,"Viva Naturals Organic Extra Virgin Coconut Oil, 32 Ounce",Great coconut oil!,5
q04,R3OIX5XBSGLLPV,6,0.029958,12,4,"Carrington Farms Unrefined Coconut Oil, 4 Ounce",A Delicious and Superior Organic Coconut Oil in Efficient and Convenient Packaging,5
