query_id,query_text,doc_id,product_title,review_headline,relevance
q01,gluten free and nut free baking mixes,RW4ZPJZWV7FBA,Pamela's Products Artisan Flour Blend,I've tried many gluten-free baking products and flour blends over ...,0
q01,gluten free and nut free baking mixes,R382BWXVKVF6B7,Tropical Fields Crispy Coconut Rolls with Sesame Seeds 9.3 oz,Gluten free?,1
q01,gluten free and nut free baking mixes,R17CJRSERY104O,Namaste Foods Gluten Free Organic Perfect Flour Blend,Five Stars,2
q01,gluten free and nut free baking mixes,R3CRCJLQ36BB9D,Pamela's Products Amazing Wheat Free & Gluten-free Bread Mix,Gluten Free bread can satisfy the bread lover.,2
q01,gluten free and nut free baking mixes,R3AZHD6Z774EPQ,Pillsbury Funfetti Gluten Free Premium Cake & Cupcake Mix with Candy Bits,Best gluten free cake mix cake I've had,2
q01,gluten free and nut free baking mixes,R1MCNQ4N4OB7LE,"Glutino Gluten Free Toaster Pastry, 5 Count",gluten free & flavor free....,1
q01,gluten free and nut free baking mixes,R9XYH8M4VKW06,"Homefree Treats You Can Trust Gluten Free Mini Vanilla Cookie Box, 70% Organic, Single Serve, 1.1 Ounce (Pack of 30)",Also EGG and PEA free!!!,1
q01,gluten free and nut free baking mixes,RNRAJVB2T81JI,Pamelas Whenever Oat Bars - 4 variety pack,Being Gluten free is a lot easier with these wonderful snack bars,1
q01,gluten free and nut free baking mixes,R35NAJLZH5TSD1,Pamela's Ultimate Baking and Pancake Mix,Makes great-tasting gluten-free pancakes,0
q01,gluten free and nut free baking mixes,RMEKM1RPRC1EE,"Orgain Plant-Based Organic Nutrition Shake, 2 Flavors, 11 Ounce, 12 Count",gluten and soy free loved these. Great for a fast,0
q02,healthy low sodium snacks for weight loss,R6MZR6HAYAI0I,Spike Seasoning - Salt Free and Gluten Free - 1.9 oz,Yummy and healthy,1
q02,healthy low sodium snacks for weight loss,R3R2R15K6WSZBI,"Orchard Bars Strwberry, Raspberry & Walnut Bars, 1.4-Ounce Bar, 12-Count",Tasty and Healthy,2
q02,healthy low sodium snacks for weight loss,R37HCFSER6CCBG,"Enlightened Crisp The Good for You Crisp Roasted Broad Beans, 3.5 Ounce (Pack of 6)",I love salty snacks and we all know that chips and ...,1
q02,healthy low sodium snacks for weight loss,R1OW95W101N2K0,"Non-GMO and Natural Healthy Snacks Care Package - College, Military, Get Well, Thank You Gift, School Lunch, Office Variety Pack",Amazing healthy great tasting snacks,2
q02,healthy low sodium snacks for weight loss,R3G9VAI3LUJ5QT,"Kraft Free Dressing, 16-Ounce Plastic Bottles (Pack of 6)",I love this dressing (but keep an eye on the sodium intake).,0
q02,healthy low sodium snacks for weight loss,R2IHRHCKP2GF9H,Sahale Snacks,amazing grab and go snacks.,1
q02,healthy low sodium snacks for weight loss,R3PE2WGQW3TEGS,"Spike Gourmet Natural Seasoning, Vegit, 2 Ounce (Pack of 6)",Vegit Magic!,0
q02,healthy low sodium snacks for weight loss,R2BZWTKSS6OBWI,Nick's Sticks 100% Grass-Fed Beef Snack Sticks - Gluten Free - No Antibiotics or Hormones (25 packages of 2 sticks),"Great ""on the go"" snack or meal replacement",1
q02,healthy low sodium snacks for weight loss,R3E294QXDASN51,"Osem Bamba Snack, Peanut, 1 Ounce (Pack of 24)",Great Snack,1
q02,healthy low sodium snacks for weight loss,R1UBJ8SS1WANZT,"Taco Bell 12 Crunchy Taco Shells, 4.5 Ounce (Pack of 12)",The Best!,0
q03,best green tea for energy and focus,R30L1WNMK87Z3P,"V8 V-Fusion +Energy Drinks, 8 Fl Oz",Love the taste but no energy felt,2
q03,best green tea for energy and focus,R1AX3L8E7UMCVG,Dandelion Root Tea - Raw Organic Vitamin Rich Digestive,green tea instead,0
q03,best green tea for energy and focus,R1H63WKSDV380O,LeCharm Ready Brew Fruit & Flowering Tea Extract Crystals Sachets - Fine Tea in 3 Seconds,Not the best taste. Buy crystal light green tea instead,0
q03,best green tea for energy and focus,R3N18HEVEY6NBC,"Japan Ceremonial 100% Wholesome Organic Matcha Green Tea Powder, Diet Drink, Detox, Energy Booster",Matcha Green Tea Powder by Jun Nippon Matcha,2
q03,best green tea for energy and focus,R10D7HDIQE1WNQ,"Argo Tea Unsweetened Green Tea Strawberry Tea, 13.5 Fluid Ounce -- 12 per case.",Yum! Green tea with a hint of strawberry,1
