query_id,doc_id,rank,score,product_title,review_headline,star_rating
q01,RW4ZPJZWV7FBA,1,23.8031,Pamela's Products Artisan Flour Blend,I've tried many gluten-free baking products and flour blends over ...,5
q01,R17CJRSERY104O,2,21.5028,Namaste Foods Gluten Free Organic Perfect Flour Blend,Five Stars,5
q01,R382BWXVKVF6B7,3,21.2402,Tropical Fields Crispy Coconut Rolls with Sesame Seeds 9.3 oz,Gluten free?,1
q01,R1MCNQ4N4OB7LE,4,20.2073,"Glutino Gluten Free Toaster Pastry, 5 Count",gluten free & flavor free....,2
q01,R3JTYP6FV9AWCR,5,20.0153,Nature's Path Organic Sunrise Cereal - Crunchy Vanilla 10.6 oz Pkg,Enjoy this gluten free cereal.,5
q01,R2CD1TBPTGUBZN,6,19.6854,"DeLallo Gluten Free Corn and Rice, Fusilli, 12 Ounce",BEST Gluten Free Pasta I've ever tried!,5
q01,R19B4TFSZFRA2Y,7,19.5658,Organic Gluten Free Oats,I love that these oats are both organic and gluten free,5
q01,R3BSL4FCO7U4YK,8,19.1131,Spike Seasoning - Salt Free and Gluten Free - 1.9 oz,Salt free and Gluten free Seasoning,5
q01,RQSIH4L30T7QN,9,18.5387,Nature Valley Muesli Cereal Blueberry 11 oz Box,I am gluten free but love oats. These are sadly not gluten-free certified but ...,5
q01,R3CRCJLQ36BB9D,10,18.52,Pamela's Products Amazing Wheat Free & Gluten-free Bread Mix,Gluten Free bread can satisfy the bread lover.,5
q02,R2RC7A7NSN49Q9,1,16.2042,Pop-Tarts,Four Stars,4
q02,R1BCRYG5YCZ9YN,2,16.0149,"V8 100% Vegetable Juice, Original Low Sodium",Low sodium V8 juice is an excellent source of potassium,5
q02,R3R2R15K6WSZBI,3,15.2056,"Orchard Bars Strwberry, Raspberry & Walnut Bars, 1.4-Ounce Bar, 12-Count",Tasty and Healthy,5
q02,R2IHRHCKP2GF9H,4,13.7525,Sahale Snacks,amazing grab and go snacks.,5
q02,R1OGREA5U7XIX2,5,13.7525,Caveman Foods Primal Performance Caveman Bar Variety (Pack of 10),My kids love them for snacks,5
q02,R2QOOJ8TS35NOX,6,13.103,Bragg - Organic Apple Cider Vinegar with Mother,Worth every cent!,5
q02,R6MZR6HAYAI0I,7,12.931,Spike Seasoning - Salt Free and Gluten Free - 1.9 oz,Yummy and healthy,5
q02,R16FN2TIOM92BL,8,12.7227,Iaso Tea (1 Month Supply),Unfortunately this product did not work for me as far ...,3
q02,R1Z097JMB2TYIY,9,12.6282,"NutraSalt Low Sodium Sea Salt, 5.5-Ounce Containers - 1 Piece",Natrasalt,3
q02,R1OW95W101N2K0,10,12.4022,"Non-GMO and Natural Healthy Snacks Care Package - College, Military, Get Well, Thank You Gift, School Lunch, Office Variety Pack",Amazing healthy great tasting snacks,5
q03,R2UFL5HCGL95A1,1,14.8492,Organic Matcha Green Tea Powder - 100% Pure Matcha (No Sugar Added - Unsweetened Pure Green Tea - No Coloring Added Like Others) 4oz,Taste is a 10/10 as far as green tea goes ...,5
q03,R1H63WKSDV380O,2,14.8325,LeCharm Ready Brew Fruit & Flowering Tea Extract Crystals Sachets - Fine Tea in 3 Seconds,Not the best taste. Buy crystal light green tea instead,1
q03,R61VL1WQT8UTV,3,12.9397,"Celestial Seasonings Rooibos Tea, 20 Count (Pack of 6)",Try this tea!,5
q03,R30L1WNMK87Z3P,4,12.9341,"V8 V-Fusion +Energy Drinks, 8 Fl Oz",Love the taste but no energy felt,3
q03,R95793VP294V1,5,12.8362,Monster Rehab Variety - 24/15.5oz Cans,No Green Tea!!,3
q03,R1QYH4QCJUTC7S,6,12.8362,"Japanese Kit Kat Matcha Green Tea Flavor | Sweetness for Adults, mini 12 pcs (Japan Import)",Yum for green tea lovers,5
q03,R1AX3L8E7UMCVG,7,12.6864,Dandelion Root Tea - Raw Organic Vitamin Rich Digestive,green tea instead,2
q03,R1F3S3LH8R7ODJ,8,12.3775,"Organic Pinhead Gunpowder Green Tea, Loose Leaf Bag, Positively Tea (1 lb.)",Five Stars,5
