marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,19473410,R1FRHVUAG8IJBE,B004CSGRS0,573370661,Kirkland Signature Dried Natural Cherries 20 Ounce,Grocery,5,0,0,N,Y,Delicious!,"These dried cherries are delicious. They are very tender and juicy for a dried cherry which is what I enjoy about them. I haven't found any dried out cherries, pits or stems in the bag.",2015-08-26
US,17916828,R3O86GZRVQZ3CM,B00LTTK8W6,262641083,Buffalo Bills Rock Candy On A Stick (individually wrapped rock candy crystal sticks in 2 sizes),Grocery,5,0,0,N,Y,Happy with package job,Nice size. Bought 2 buckets for my daughters wedding. They ALL arrived intact.,2015-08-31
US,31766082,R1FS5OKHQSSN0R,B00Y4IYA64,640142058,CAL Farms Brand Chewy Red Sour Cherry Candy Sourz,Grocery,5,0,0,N,N,There's a party in my tummy.,Oh my goodness These arrived today and they are A-MAZING! Their the perfect blend of chewy and sour no sticking to your teeth.. They arrived in Utah on a HOT day I was a little worried about melting but they packaged it perfectly! The flavor is great also not over the top but there..<br /><br />I let my little boys try them as well they are candy LOL and they LOVED them They kept coming back for more.. I fear I will need to hide these if I want any.<br />The sellers are top notch great communication.<br /><br />Their only complaint was that they weren't very sour (they are sour but not sour gummy worm sour)<br /><br />* i received this product at a discount for my honest and non bias review.,2015-08-31
US,14698341,RZJUQRQ597V1E,B00916VF94,233915155,Tangy Dill Pickle Popcorn Seasoning,Grocery,5,0,1,N,N,Best popcorn flavor!!,Got small containers of seasonings and popcorn a couple of Christmases ago. This one was by far my favorite flavor and I didn't know that I was ever going to find it again...and a bigger container. Yay!,2015-08-30
US,48293392,R1L91YEY0E6XAS,B00EKLPLU4,398216137,Healthworks Cacao Powder Parent,Grocery,5,0,0,N,Y,You can smell the difference in quality,I could stand and smell the bag for hours - wonderfully rich aroma.,2015-08-25
US,4099189,R3DVB55VA451GR,B00Y1C9770,729982780,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Grocery,5,0,0,N,N,Jif so Good you'll want to eat them all !!!,I am a member of Crowdtap and have received these for free and they are the Best !!! They are great for taking on the go and a quick snack that can be eaten on the run you can't beat the taste of these Jif Bars!!,2015-08-30
US,25470308,R3IOJT5HMDP9BX,B003QNHT7U,822620511,"The Coffee Bean & Tea Leaf Vanilla Powder, 22-Ounce Containers (Pack of 3)",Grocery,5,1,2,N,Y,"I love the product, but not the ingredients in Sugar Free and packaging","I am a HUGE Coffee Bean & Tea Leaf fan, but the closest coffee shop is 700 miles away! I'm so grateful for the vanilla powder for my lattes. I typically prefer the sugar free version, but when researching between the two, the sugar free contains aspartame - a cancer causing ingredient. No thanks! I hope CBTL will fix that ASAP. When I received the 3 bin package, all three bins were banged up and one of them was covered in powder. Please package these products better.",2015-08-28
US,50487025,R3JQVAICHR1181,B00S7NYNT6,655333743,"Dunkin' Donuts Decaffeinated Coffee, Ground (40 oz.)",Grocery,1,10,15,N,Y,One Star,Took to long to deliver and overpriced,2015-08-25
US,50175398,R18S7I1B3DMY1F,B00K2RYG6K,122713301,"Bold Coffee Variety Sampler Pack for Keurig K-Cup Brewers, 30 Count",Grocery,1,2,2,N,Y,Many samples not compatible with Keurig 2.0,"20 of the pods were not compatible with the Keurig 2.0. Some of the pods were misshaped. Many were overly puffed out due to excessive air, but some were actually crushed inwards due to a vacuum.",2015-08-24
US,52533286,R121WUW1FRNBZ1,B000T4B6YQ,331944469,Matouk's SOCA Hot Sauce 10oz,Grocery,4,0,0,N,Y,Excellent product but a bit pricey!,Excellent product but a bit pricey!,2015-08-30
US,30223060,R2E4RAW59QRBFV,B006MWDFUC,308199295,"YS Eco Bee Farms RAW HONEY - Raw, Unfiltered, Unpasteurized - Kosher",Grocery,4,0,0,N,Y,"tastes just as good, but I prefer organic","Bought this on accident. Meant to get the organic raw honey in a glass jar, accidentally ordered the non-organic in a plastic jar. Works just as well, tastes just as good, but I prefer organic.",2015-08-19
US,24766634,R1TSTQ7X1ETMQ5,B008K9H5JW,921955044,"Sherpa Pink Gourmet Himalayan Salt, 5lbs Coarse/Medium Grain.",Grocery,5,0,0,N,Y,Great Buy. Great Product.,"Received order right away, product came exactly as discribed. Salt was in large grains and came in a 5lb re-sealable moisture proof pouch.",2015-08-29
US,39824876,R3RZR081E8144P,B00473UBEQ,733359305,"Junket Danish Dessert Raspberry, 4.75-Ounce (Pack of 12)",Grocery,5,0,0,N,Y,love it,Love being to find it; enjoyed it decades ago,2015-08-28
US,10876119,R2COGMG80DUPK9,B00HZ7HSTW,885171844,Beantown Roasters K Cups Variety Packs,Grocery,1,0,0,N,Y,Very Weak,"They worked fine with my Keurig, but I've used only about half so far and every single one has been weak.  Not worth it...once we use them up, I'll spend a little more to get better quality coffee.",2015-08-18
US,20852026,R4QQDKDT0U7E9,B00P883SEO,450208930,VIVALOE Peach Aloe 16.9fl oz (12 Pack),Grocery,5,0,0,N,Y,Five Stars,Great product!  Arrived on time,2015-08-31
US,23747702,R41WCEFG2SE70,B00IDCFXG8,231412159,Viva Labs Organic Coconut Flour,Grocery,5,0,0,N,Y,"The flour is fine, light","The flour is fine, light, and delicious.  It has a wonderful flavor.  I am happy with my purchase and would recommend this item to others.",2015-08-29
